object,saccade_id,sim,pos.x,pos.y,goal.y,goal.x,ts,rot,trial,saccade_num
square,0000-0004,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,2.0,4,11.459155902616464,square-0-2,0
square,0000-0008,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,8,11.459155902616464,square-0-2,1
square,0000-0012,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,12,11.459155902616464,square-0-2,2
square,0000-0016,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,16,11.459155902616464,square-0-2,3
square,0000-0020,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,20,11.459155902616464,square-0-2,4
square,0000-0024,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,24,11.459155902616464,square-0-2,5
square,0000-0028,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,28,11.459155902616464,square-0-2,6
square,0000-0032,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,32,11.459155902616464,square-0-2,7
square,0000-0036,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,36,11.459155902616464,square-0-2,8
square,0000-0040,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,40,11.459155902616464,square-0-2,9
square,0000-0044,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,44,11.459155902616464,square-0-2,10
square,0000-0048,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,48,11.459155902616464,square-0-2,11
square,0000-0052,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,52,11.459155902616464,square-0-2,12
square,0000-0056,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,56,11.459155902616464,square-0-2,13
square,0000-0060,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,60,11.459155902616464,square-0-2,14
square,0000-0064,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,64,11.459155902616464,square-0-2,15
square,0000-0068,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,68,11.459155902616464,square-0-2,16
square,0000-0072,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,72,11.459155902616464,square-0-2,17
square,0000-0076,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,76,11.459155902616464,square-0-2,18
square,0000-0080,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,80,11.459155902616464,square-0-2,19
square,0000-0084,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,84,11.459155902616464,square-0-2,20
square,0000-0088,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,88,11.459155902616464,square-0-2,21
square,0000-0092,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,92,11.459155902616464,square-0-2,22
square,0000-0096,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,96,11.459155902616464,square-0-2,23
square,0000-0100,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,100,11.459155902616464,square-0-2,24
square,0000-0104,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,104,11.459155902616464,square-0-2,25
square,0000-0108,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,108,11.459155902616464,square-0-2,26
square,0000-0112,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,112,11.459155902616464,square-0-2,27
square,0000-0116,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,116,11.459155902616464,square-0-2,28
square,0000-0120,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,120,11.459155902616464,square-0-2,29
square,0000-0124,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,124,11.459155902616464,square-0-2,30
square,0000-0128,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,128,11.459155902616464,square-0-2,31
square,0000-0132,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,132,11.459155902616464,square-0-2,32
square,0000-0136,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,136,11.459155902616464,square-0-2,33
square,0000-0140,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,140,11.459155902616464,square-0-2,34
square,0000-0144,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,144,11.459155902616464,square-0-2,35
square,0000-0148,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,148,11.459155902616464,square-0-2,36
square,0000-0152,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,8.0,152,11.459155902616464,square-0-2,37
square,0000-0156,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,7.0,1.0,156,11.459155902616464,square-0-2,38
triangle,0000-0004,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,4.0,5.0,4,11.459155902616464,triangle-0-2,0
triangle,0000-0008,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,8,11.459155902616464,triangle-0-2,1
triangle,0000-0012,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,12,11.459155902616464,triangle-0-2,2
triangle,0000-0016,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,16,11.459155902616464,triangle-0-2,3
triangle,0000-0020,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,20,11.459155902616464,triangle-0-2,4
triangle,0000-0024,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,24,11.459155902616464,triangle-0-2,5
triangle,0000-0028,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,28,11.459155902616464,triangle-0-2,6
triangle,0000-0032,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,32,11.459155902616464,triangle-0-2,7
triangle,0000-0036,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,36,11.459155902616464,triangle-0-2,8
triangle,0000-0040,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,40,11.459155902616464,triangle-0-2,9
triangle,0000-0044,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,44,11.459155902616464,triangle-0-2,10
triangle,0000-0048,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,48,11.459155902616464,triangle-0-2,11
triangle,0000-0052,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,52,11.459155902616464,triangle-0-2,12
triangle,0000-0056,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,56,11.459155902616464,triangle-0-2,13
triangle,0000-0060,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,60,11.459155902616464,triangle-0-2,14
triangle,0000-0064,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,64,11.459155902616464,triangle-0-2,15
triangle,0000-0068,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,68,11.459155902616464,triangle-0-2,16
triangle,0000-0072,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,72,11.459155902616464,triangle-0-2,17
triangle,0000-0076,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,76,11.459155902616464,triangle-0-2,18
triangle,0000-0080,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,80,11.459155902616464,triangle-0-2,19
triangle,0000-0084,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,84,11.459155902616464,triangle-0-2,20
triangle,0000-0088,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,88,11.459155902616464,triangle-0-2,21
triangle,0000-0092,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,92,11.459155902616464,triangle-0-2,22
triangle,0000-0096,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,96,11.459155902616464,triangle-0-2,23
triangle,0000-0100,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,100,11.459155902616464,triangle-0-2,24
triangle,0000-0104,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,104,11.459155902616464,triangle-0-2,25
triangle,0000-0108,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,108,11.459155902616464,triangle-0-2,26
triangle,0000-0112,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,112,11.459155902616464,triangle-0-2,27
triangle,0000-0116,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,116,11.459155902616464,triangle-0-2,28
triangle,0000-0120,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,120,11.459155902616464,triangle-0-2,29
triangle,0000-0124,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,124,11.459155902616464,triangle-0-2,30
triangle,0000-0128,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,128,11.459155902616464,triangle-0-2,31
triangle,0000-0132,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,132,11.459155902616464,triangle-0-2,32
triangle,0000-0136,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,3.0,0.0,136,11.459155902616464,triangle-0-2,33
triangle,0000-0140,sim_big_field_0x6f74_s_1_m_08000_a_02000_d_03000_l_01000,40.0,40.0,9.0,8.0,140,11.459155902616464,triangle-0-2,34
